County,total_transactions,under_300k,pct_under_300k,avg_price
Longford,153,128,83.7,204414.0
Donegal,513,386,75.2,238045.0
Leitrim,171,127,74.3,221470.0
Roscommon,248,178,71.8,236181.0
Mayo,449,322,71.7,249527.0
Monaghan,155,109,70.3,247819.0
Cavan,276,182,65.9,264175.0
Tipperary,532,327,61.5,275912.0
Sligo,312,188,60.3,290188.0
Offaly,263,151,57.4,280076.0
Carlow,169,94,55.6,300863.0
Limerick,683,348,51.0,310293.0
Clare,468,235,50.2,312290.0
Wexford,763,381,49.9,317041.0
Waterford,565,276,48.8,317401.0
Kerry,407,197,48.4,327947.0
Westmeath,374,174,46.5,308027.0
Kilkenny,349,151,43.3,355888.0
Laois,425,167,39.3,343113.0
Louth,633,215,34.0,346927.0
Galway,959,284,29.6,385928.0
Cork,2440,713,29.2,389516.0
Meath,852,175,20.5,420534.0
Kildare,1151,153,13.3,440878.0
Wicklow,699,81,11.6,534350.0
Dublin,6026,504,8.4,591104.0
