County,total_transactions,avg_price,min_price,max_price
Dublin,6026,591104.0,13000.0,5000000.0
Wicklow,699,534350.0,20000.0,4000000.0
Kildare,1151,440878.0,15000.0,2350000.0
Meath,852,420534.0,30000.0,2550000.0
Cork,2440,389516.0,8400.0,4915000.0
Galway,959,385928.0,10000.0,2632708.0
Kilkenny,349,355888.0,7620.0,2200000.0
Louth,633,346927.0,60000.0,1200000.0
Laois,425,343113.0,20000.0,4395783.0
Kerry,407,327947.0,30000.0,3752395.0
Waterford,565,317401.0,30000.0,3476212.0
Wexford,763,317041.0,30000.0,3488326.0
Clare,468,312290.0,26150.0,2600000.0
Limerick,683,310293.0,25000.0,3835000.0
Westmeath,374,308027.0,30000.0,2165000.0
Carlow,169,300863.0,55000.0,2725000.0
Sligo,312,290188.0,20000.0,2155000.0
Offaly,263,280076.0,30000.0,720000.0
Tipperary,532,275912.0,17553.0,2750000.0
Cavan,276,264175.0,15000.0,1200000.0
Mayo,449,249527.0,10000.0,2200000.0
Monaghan,155,247819.0,24126.0,835000.0
Donegal,513,238045.0,11000.0,4000000.0
Roscommon,248,236181.0,10000.0,1252863.0
Leitrim,171,221470.0,20000.0,510000.0
Longford,153,204414.0,30000.0,585000.0
