Year,dublin_avg,national_avg,dublin_premium
2010,331272.0,245871.0,85401.0
2011,313264.0,219203.0,94061.0
2012,284779.0,197976.0,86802.0
2013,304071.0,199508.0,104563.0
2014,337255.0,207053.0,130202.0
2015,349430.0,216941.0,132489.0
2016,385361.0,238107.0,147255.0
2017,416960.0,265615.0,151345.0
2018,432546.0,280112.0,152434.0
2019,429181.0,285237.0,143944.0
2020,442299.0,291242.0,151058.0
2021,485975.0,317496.0,168479.0
2022,515295.0,348395.0,166901.0
2023,521589.0,362266.0,159323.0
2024,554947.0,391403.0,163544.0
2025,578055.0,415516.0,162539.0
2026,591104.0,422981.0,168123.0
