Year,new_build_avg,second_hand_avg,new_build_premium
2010,214015.0,257070.0,-43055.0
2011,190310.0,224798.0,-34488.0
2012,174035.0,201474.0,-27439.0
2013,154080.0,206400.0,-52320.0
2014,186557.0,209989.0,-23432.0
2015,221638.0,216243.0,5396.0
2016,265882.0,233627.0,32255.0
2017,293979.0,259646.0,34333.0
2018,320359.0,270343.0,50016.0
2019,327515.0,275423.0,52092.0
2020,352767.0,277390.0,75377.0
2021,368826.0,307955.0,60872.0
2022,386063.0,340505.0,45558.0
2023,407345.0,351901.0,55444.0
2024,429003.0,381681.0,47322.0
2025,429359.0,411416.0,17944.0
2026,434664.0,419452.0,15212.0
