County,avg_price,row_number,rank,dense_rank
Dublin,591104.0,1,1,1
Wicklow,534350.0,2,2,2
Kildare,440878.0,3,3,3
Meath,420534.0,4,4,4
Cork,389516.0,5,5,5
Galway,385928.0,6,6,6
Kilkenny,355888.0,7,7,7
Louth,346927.0,8,8,8
Laois,343113.0,9,9,9
Kerry,327947.0,10,10,10
Waterford,317401.0,11,11,11
Wexford,317041.0,12,12,12
Clare,312290.0,13,13,13
Limerick,310293.0,14,14,14
Westmeath,308027.0,15,15,15
Carlow,300863.0,16,16,16
Sligo,290188.0,17,17,17
Offaly,280076.0,18,18,18
Tipperary,275912.0,19,19,19
Cavan,264175.0,20,20,20
Mayo,249527.0,21,21,21
Monaghan,247819.0,22,22,22
Donegal,238045.0,23,23,23
Roscommon,236181.0,24,24,24
Leitrim,221470.0,25,25,25
Longford,204414.0,26,26,26
